x,y_wifi,y_aprs,y_lora,y_midband5g
1.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
2.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
3.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
4.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
5.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
6.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
7.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
8.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
9.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
10.0,750.0000000000005,0.009600000000000001,0.049999999999999996,999.9999999999995
11.0,733.4495764071968,0.009600000000000001,0.04998293821587743,999.9999999999995
12.0,717.2643748425282,0.009600000000000001,0.04996588225384443,999.9999999999995
13.0,701.4363358669666,0.009600000000000001,0.049948832111914275,999.9999999999995
14.0,685.9575778909901,0.009600000000000001,0.04993178778810094,999.9999999999995
15.0,670.8203932499375,0.009600000000000001,0.04991474928041905,999.9999999999995
16.0,656.0172443659665,0.009600000000000001,0.04989771658688397,999.9999999999995
17.0,641.5407599947124,0.009600000000000001,0.049880689705511704,999.9999999999995
18.0,627.3837315547636,0.009600000000000001,0.04986366863431891,999.9999999999995
19.0,613.5391095381435,0.009600000000000001,0.049846653371322956,999.9999999999995
20.0,599.9999999999998,0.009600000000000001,0.04982964391454189,999.9999999999995
21.0,582.9849947178436,0.009600000000000001,0.04981264026199441,999.9999999999995
22.0,566.4525067769414,0.009600000000000001,0.04979564241169994,999.9999999999995
23.0,550.3888527854408,0.009600000000000001,0.049778650361678486,999.9999999999995
24.0,534.7807373898014,0.009600000000000001,0.04976166410995082,999.9999999999995
25.0,519.6152422706633,0.009600000000000001,0.04974468365453836,999.9999999999995
26.0,504.8798154507896,0.009600000000000001,0.049727708993463175,999.9999999999995
27.0,490.56226090620834,0.009600000000000001,0.049710740124748076,999.9999999999995
28.0,476.6507284719656,0.009600000000000001,0.049693777046416455,999.9999999999995
29.0,463.1337040341429,0.009600000000000001,0.04967681975649245,999.9999999999995
30.0,450.00000000000034,0.009600000000000001,0.04965986825300084,999.9999999999995
31.0,438.8317753320823,0.009600000000000001,0.04964292253396711,999.9999999999995
32.0,427.9407267580156,0.009600000000000001,0.049625982597417365,999.9999999999995
33.0,417.3199752447142,0.009600000000000001,0.04960904844137842,999.9999999999995
34.0,406.962812484841,0.009600000000000001,0.049592120063877775,999.9999999999995
35.0,396.86269665968877,0.009600000000000001,0.049575197462943574,999.9999999999995
36.0,387.0132483072195,0.009600000000000001,0.049558280636604675,999.9999999999995
37.0,377.4082462926511,0.009600000000000001,0.049541369582890536,999.9999999999995
38.0,368.0416238790483,0.009600000000000001,0.04952446429983135,999.9999999999995
39.0,358.90746489543363,0.009600000000000001,0.04950756478545797,999.9999999999995
40.0,350.0000000000001,0.009600000000000001,0.04949067103780193,999.9999999999995
41.0,338.41939192101194,0.009600000000000001,0.04947378305489538,999.9999999999995
42.0,327.22195665196483,0.009600000000000001,0.049456900834771195,999.9999999999995
43.0,316.3950159810333,0.009600000000000001,0.049440024375462924,999.9999999999995
44.0,305.9263111861146,0.009600000000000001,0.049423153675004765,999.9999999999995
45.0,295.80398915498046,0.009600000000000001,0.0494062887314316,999.9999999999995
46.0,286.0165889646808,0.009600000000000001,0.04938942954277896,999.9999999999995
47.0,276.5530289049979,0.009600000000000001,0.04937257610708305,999.9999999999995
48.0,267.40259393126695,0.009600000000000001,0.04935572842238077,999.9999999999995
49.0,258.5549235323451,0.009600000000000001,0.04933888648670969,999.9999999999995
50.0,249.99999999999983,0.009600000000000001,0.04932205029810803,999.9999999999995
51.0,241.92082692603685,0.009600000000000001,0.04930521985461467,999.5042483669928
52.0,234.10274600231008,0.009600000000000001,0.04928839515426917,999.0087425036677
53.0,226.53731959413943,0.009600000000000001,0.049271576195111785,998.5134822881836
54.0,219.21638274328856,0.009600000000000001,0.04925476297518342,998.0184675987599
55.0,212.13203435596398,0.009600000000000001,0.04923795549252562,997.5236983136788
56.0,205.27662867558956,0.009600000000000001,0.049221153745180615,997.0291743112768
57.0,198.64276703115067,0.009600000000000001,0.04920435773119134,996.5348954699567
58.0,192.22328985220838,0.009600000000000001,0.04918756744860137,996.0408616681793
59.0,186.0112689419582,0.009600000000000001,0.049170782895454956,995.5470727844659
60.0,179.99999999999997,0.009600000000000001,0.04915400406979697,995.053528697398
61.0,172.8476101425992,0.009600000000000001,0.049137230969673,994.560229285617
62.0,165.97942406671086,0.009600000000000001,0.0491204635931293,994.0671744278252
63.0,159.3841487932002,0.009600000000000001,0.04910370193821278,993.5743640027841
